column,clip_lo,clip_hi,nonmissing_before,newly_clipped_to_missing,remaining_nonmissing,ycol,sec,subgroup,subgroup_query
MAP,20.0,160.0,4888185,433,4887752,rSO2_Ch1,1,Female,Sex == 0
SV,20.0,180.0,4888185,16685,4871500,rSO2_Ch1,1,Female,Sex == 0
HR,35.0,160.0,4888185,8050,4880135,rSO2_Ch1,1,Female,Sex == 0
RRtotal,4.0,35.0,1115780,2161,1113619,rSO2_Ch1,1,Female,Sex == 0
TVinsp,150.0,1000.0,1112008,10288,1101720,rSO2_Ch1,1,Female,Sex == 0
Pmean,0.0,20.0,1108697,160,1108537,rSO2_Ch1,1,Female,Sex == 0
CI,0.5,8.0,4888185,3836,4884349,rSO2_Ch1,1,Female,Sex == 0
ET_CO2,20.0,50.0,5814512,168642,5645870,rSO2_Ch2,1,Female,Sex == 0
rSO2_Ch2,25.0,95.0,5814512,5353,5809159,rSO2_Ch2,1,Female,Sex == 0
TEMP,34.0,37.5,4621637,127481,4494156,rSO2_Ch2,1,Female,Sex == 0
FiO2_new,30.0,100.0,5101503,173223,4928280,rSO2_Ch2,1,Female,Sex == 0
MAP,20.0,160.0,4927914,500,4927414,rSO2_Ch2,1,Female,Sex == 0
SV,20.0,180.0,4927914,15949,4911965,rSO2_Ch2,1,Female,Sex == 0
HR,35.0,160.0,4927914,8045,4919869,rSO2_Ch2,1,Female,Sex == 0
RRtotal,4.0,35.0,1119522,2201,1117321,rSO2_Ch2,1,Female,Sex == 0
TVinsp,150.0,1000.0,1115688,10374,1105314,rSO2_Ch2,1,Female,Sex == 0
Pmean,0.0,20.0,1112389,164,1112225,rSO2_Ch2,1,Female,Sex == 0
CI,0.5,8.0,4927914,3762,4924152,rSO2_Ch2,1,Female,Sex == 0
ET_CO2,20.0,50.0,5842599,170066,5672533,rSO2_Ch3,1,Female,Sex == 0
rSO2_Ch3,25.0,95.0,5842599,11650,5830949,rSO2_Ch3,1,Female,Sex == 0
TEMP,34.0,37.5,4636204,128157,4508047,rSO2_Ch3,1,Female,Sex == 0
FiO2_new,30.0,100.0,5111992,174257,4937735,rSO2_Ch3,1,Female,Sex == 0
MAP,20.0,160.0,4940750,667,4940083,rSO2_Ch3,1,Female,Sex == 0
SV,20.0,180.0,4940750,7067,4933683,rSO2_Ch3,1,Female,Sex == 0
HR,35.0,160.0,4940750,8106,4932644,rSO2_Ch3,1,Female,Sex == 0
RRtotal,4.0,35.0,1124010,2198,1121812,rSO2_Ch3,1,Female,Sex == 0
TVinsp,150.0,1000.0,1120184,10461,1109723,rSO2_Ch3,1,Female,Sex == 0
Pmean,0.0,20.0,1116839,166,1116673,rSO2_Ch3,1,Female,Sex == 0
CI,0.5,8.0,4940750,3316,4937434,rSO2_Ch3,1,Female,Sex == 0
ET_CO2,20.0,50.0,4580223,115034,4465189,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
rSO2_Ch1,25.0,95.0,4580223,2876,4577347,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TEMP,34.0,37.5,3737794,83344,3654450,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
FiO2_new,30.0,100.0,3916249,108481,3807768,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
MAP,20.0,160.0,3832517,1090,3831427,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
SV,20.0,180.0,3832517,10077,3822440,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
HR,35.0,160.0,3832517,12813,3819704,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
RRtotal,4.0,35.0,935076,1812,933264,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TVinsp,150.0,1000.0,931602,6974,924628,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
Pmean,0.0,20.0,928934,82,928852,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
CI,0.5,8.0,3832517,8063,3824454,rSO2_Ch1,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
ET_CO2,20.0,50.0,4602759,115303,4487456,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
rSO2_Ch2,25.0,95.0,4602759,2675,4600084,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TEMP,34.0,37.5,3759859,83308,3676551,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
FiO2_new,30.0,100.0,3940842,108468,3832374,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
MAP,20.0,160.0,3845787,1074,3844713,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
SV,20.0,180.0,3845787,10320,3835467,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
HR,35.0,160.0,3845787,12966,3832821,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
RRtotal,4.0,35.0,939340,1896,937444,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TVinsp,150.0,1000.0,935756,7053,928703,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
Pmean,0.0,20.0,933046,81,932965,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
CI,0.5,8.0,3845787,8080,3837707,rSO2_Ch2,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
ET_CO2,20.0,50.0,4616596,115862,4500734,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
rSO2_Ch3,25.0,95.0,4616596,14519,4602077,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TEMP,34.0,37.5,3760544,83587,3676957,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
FiO2_new,30.0,100.0,3937077,108453,3828624,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
MAP,20.0,160.0,3849411,1043,3848368,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
SV,20.0,180.0,3849411,10315,3839096,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
HR,35.0,160.0,3849411,13165,3836246,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
RRtotal,4.0,35.0,940594,1881,938713,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
TVinsp,150.0,1000.0,937000,7093,929907,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
Pmean,0.0,20.0,934484,83,934401,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
CI,0.5,8.0,3849411,8097,3841314,rSO2_Ch3,1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1
ET_CO2,20.0,50.0,16077330,402340,15674990,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
rSO2_Ch1,25.0,95.0,16077330,23456,16053874,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TEMP,34.0,37.5,13141642,302474,12839168,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
FiO2_new,30.0,100.0,14111475,380699,13730776,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
MAP,20.0,160.0,13668502,6294,13662208,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
SV,20.0,180.0,13668502,26757,13641745,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
HR,35.0,160.0,13668502,35258,13633244,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
RRtotal,4.0,35.0,3260631,5870,3254761,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TVinsp,150.0,1000.0,3250078,21828,3228250,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
Pmean,0.0,20.0,3241164,281,3240883,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
CI,0.5,8.0,13668502,15132,13653370,rSO2_Ch1,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
ET_CO2,20.0,50.0,16115457,402496,15712961,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
rSO2_Ch2,25.0,95.0,16115457,29623,16085834,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TEMP,34.0,37.5,13169848,303745,12866103,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
FiO2_new,30.0,100.0,14147233,382061,13765172,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
MAP,20.0,160.0,13691474,6348,13685126,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
SV,20.0,180.0,13691474,25421,13666053,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
HR,35.0,160.0,13691474,35367,13656107,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
RRtotal,4.0,35.0,3260337,5905,3254432,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TVinsp,150.0,1000.0,3249679,21929,3227750,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
Pmean,0.0,20.0,3240857,290,3240567,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
CI,0.5,8.0,13691474,14965,13676509,rSO2_Ch2,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
ET_CO2,20.0,50.0,16096220,402647,15693573,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
rSO2_Ch3,25.0,95.0,16096220,13414,16082806,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TEMP,34.0,37.5,13127267,304974,12822293,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
FiO2_new,30.0,100.0,14143306,379144,13764162,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
MAP,20.0,160.0,13681217,6221,13674996,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
SV,20.0,180.0,13681217,17174,13664043,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
HR,35.0,160.0,13681217,35539,13645678,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
RRtotal,4.0,35.0,3260174,5884,3254290,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
TVinsp,150.0,1000.0,3249916,22040,3227876,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
Pmean,0.0,20.0,3240609,293,3240316,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
CI,0.5,8.0,13681217,14768,13666449,rSO2_Ch3,1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0
