run_id,ycol,xvar,bin_idx,bin_label,x0,x1,x_mid,slope_per_unit,clinical_step_effect
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,0,S01,46.0,48.45,47.225,0.0018946897688871473,0.009473448844435736
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,1,S02,48.45,50.9,49.675,-0.050374505138103105,-0.25187252569051555
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,2,S03,50.9,53.35,52.125,-0.04390282349128692,-0.21951411745643462
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,3,S04,53.35,55.8,54.575,0.008459124129204597,0.042295620646022984
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,4,S05,55.8,58.25,57.025,0.05445581660839645,0.27227908304198223
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,5,S06,58.25,60.7,59.475,0.07828271875005566,0.3914135937502783
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,6,S07,60.7,63.150000000000006,61.925000000000004,0.08068264672113981,0.40341323360569903
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,7,S08,63.150000000000006,65.6,64.375,0.06492853866027865,0.3246426933013932
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,8,S09,65.6,68.05,66.82499999999999,0.03245101627592987,0.16225508137964934
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,9,S10,68.05,70.5,69.275,-0.013394468923767189,-0.06697234461883594
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,10,S11,70.5,72.95,71.725,-0.036943881608730904,-0.18471940804365453
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,11,S12,72.95,75.4,74.17500000000001,-0.012571291118038093,-0.06285645559019047
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,12,S13,75.4,77.85,76.625,0.05901802706738296,0.2950901353369148
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,13,S14,77.85,80.30000000000001,79.075,0.13314019929707568,0.6657009964853784
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,14,S15,80.30000000000001,82.75,81.525,0.16160835801276074,0.8080417900638037
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,15,S16,82.75,85.2,83.975,0.1416751654985823,0.7083758274929115
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,16,S17,85.2,87.65,86.42500000000001,0.08846129508363121,0.44230647541815604
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,17,S18,87.65,90.1,88.875,0.028596474684501688,0.14298237342250844
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,18,S19,90.1,92.55000000000001,91.325,-0.03527119347344086,-0.17635596736720432
n10000_overall_mapci_te_boot200,rSO2_Ch2,FiO2_new,19,S20,92.55000000000001,95.0,93.775,-0.0651869577546211,-0.32593478877310555
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,0,S01,34.39,34.496025,34.4430125,2.1382891214323907,1.0691445607161953
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,1,S02,34.496025,34.60205,34.5490375,1.8180618735159748,0.9090309367579874
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,2,S03,34.60205,34.708075,34.6550625,1.41941574781757,0.709707873908785
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,3,S04,34.708075,34.8141,34.7610875,0.9407974023262689,0.4703987011631344
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,4,S05,34.8141,34.920125,34.867112500000005,0.44841589196644205,0.22420794598322102
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,5,S06,34.920125,35.02615,34.9731375,0.008951664823127294,0.004475832411563647
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,6,S07,35.02615,35.132175000000004,35.0791625,-0.3652007406650844,-0.1826003703325422
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,7,S08,35.132175000000004,35.2382,35.1851875,-0.673131893021362,-0.336565946510681
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,8,S09,35.2382,35.344225,35.2912125,-0.8280304103155433,-0.4140152051577716
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,9,S10,35.344225,35.45025,35.3972375,-0.7840514479944453,-0.39202572399722263
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,10,S11,35.45025,35.556275,35.5032625,-0.5417078839707692,-0.2708539419853846
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,11,S12,35.556275,35.6623,35.6092875,-0.13138013397558312,-0.06569006698779156
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,12,S13,35.6623,35.768325,35.715312499999996,0.29880053830620806,0.14940026915310403
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,13,S14,35.768325,35.87435,35.8213375,0.7287145675685278,0.3643572837842639
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,14,S15,35.87435,35.980375,35.9273625,1.13295138531861,0.566475692659305
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,15,S16,35.980375,36.0864,36.0333875,1.4033035671123353,0.7016517835561676
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,16,S17,36.0864,36.192425,36.1394125,1.4194903700760149,0.7097451850380074
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,17,S18,36.192425,36.29845,36.2454375,1.177470484494778,0.588735242247389
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,18,S19,36.29845,36.404475,36.3514625,0.7370535364699753,0.36852676823498765
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,19,S20,36.404475,36.5105,36.4574875,0.33897905089060704,0.16948952544530352
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,0,S01,24.0,24.65,24.325,0.2900487584297311,1.4502437921486555
